2022-09-08 10:07:50,734 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb global_epochs 50 None
2022-09-08 10:07:50,734 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 10:07:50,734 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-09-08 10:07:50,734 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 10:07:50,734 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-09-08 10:07:50,735 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set lr = 0.01 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 10:07:50,735 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb lr 0.01 None
2022-09-08 10:07:50,735 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 10:07:50,735 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
2022-09-08 10:10:20,981 INFO    MainThread:4176 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002D1CA82F220>>
2022-09-08 10:10:20,981 INFO    MainThread:4176 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
