2022-08-24 04:02:38,404 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:02:38,404 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-08-24 04:02:38,404 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:02:38,404 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-08-24 04:02:38,405 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set lr = 0.001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:02:38,405 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb lr 0.001 None
2022-08-24 04:02:38,405 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:02:38,405 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
2022-08-24 04:04:21,592 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:04:21,592 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
2022-08-24 04:04:21,592 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set chosen_client = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:04:21,593 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb chosen_client 10 None
2022-08-24 04:04:21,593 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set global_epochs = 100 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:04:21,593 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb global_epochs 100 None
2022-08-24 04:04:21,593 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:04:21,593 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-08-24 04:04:21,593 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:04:21,593 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-08-24 04:04:21,593 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set lr = 0.001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:04:21,593 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb lr 0.001 None
2022-08-24 04:04:21,594 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:04:21,594 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
2022-08-24 04:06:04,887 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:06:04,887 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
2022-08-24 04:06:04,887 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set chosen_client = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:06:04,887 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb chosen_client 10 None
2022-08-24 04:06:04,887 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set global_epochs = 100 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:06:04,887 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb global_epochs 100 None
2022-08-24 04:06:04,888 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:06:04,888 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-08-24 04:06:04,888 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:06:04,888 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-08-24 04:06:04,888 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set lr = 0.001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:06:04,888 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb lr 0.001 None
2022-08-24 04:06:04,888 INFO    MainThread:31676 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002362C49D610>>
2022-08-24 04:06:04,888 INFO    MainThread:31676 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
